"","Nutlin-3","PHA-665752","Sorafenib","17-AAG","PLX4720","Paclitaxel","Erlotinib","Lapatinib","AZD0530","TAE684","PD-0332991","AZD6244","Nilotinib","PD-0325901"
"DATA.749716",4.06,4,0.78,-1.55,4.41,-3.03,3.35,-2.71,2.44,3.2,4.61,4.49,3.95,1.92
"DATA.749715",4.68,3.49,2.01,-2.31,4.87,-2.31,1.42,1.53,3.17,0.77,4.08,3.86,1.01,0.8
"DATA.749711",3.82,2.15,1.79,2.24,4.63,-4.18,3.16,3.16,2.8,0.5,3.15,2.95,2.85,-0.22
"DATA.735784",4.38,3.64,1,0.66,4.99,-4.23,0.56,0.9,2.62,1.72,1.48,0.8,2.39,-0.45
"DATA.724872",1.56,3.07,1.45,-0.17,4.46,-1.3,2.6,2.27,1.96,2.66,0.97,2.93,3.05,-1.09
"DATA.724863",5.4,3.98,2.78,3.32,5.26,-2.73,1.93,2.68,3.21,1.01,4.69,3.49,4.02,1.7
"DATA.724859",3.26,3.63,1.28,1.97,5.26,-4.54,3.08,3.18,2.62,1.89,2.4,0.14,3.66,-0.08
"DATA.713878",3.82,3.79,2.18,0.46,2.5,-2.57,3.86,3.34,3.81,2.33,1.84,4.4,2.27,1.9
"DATA.688121",0.99,1.86,1.43,-3.05,2.28,-5.82,3.16,2.53,1.97,0.49,-0.5,3.64,2.28,-1.2
"DATA.688031",3.95,3.09,2.84,2.14,2.13,-3.36,1.64,2.1,2.97,1.33,3.12,3.5,1.46,1.13
"DATA.688027",5.05,3.49,3.13,2.84,4.51,-3.8,3.43,2.97,3.4,0.73,4.35,4.16,3.67,1.47
"DATA.688025",4.36,2.82,3.96,1.32,4.75,-3.53,2.59,3.1,3.27,0.97,3.95,3.68,2.66,1.11
"DATA.688023",4.83,3.47,3.73,2.55,4.49,-3.87,3.2,2.79,2.6,3.24,4.13,4.03,3.47,1.36
"DATA.688021",5.19,3.8,3.83,2.15,4.95,-2.26,3.81,3.8,3.6,2.67,4.49,3.75,3.81,1.66
"DATA.688014",3.34,3.21,2.69,1.91,4.46,-2.84,3.24,3.43,2.89,1.37,4.13,3.94,3.1,1.35
"DATA.688013",3.42,3.49,3.33,2.79,1.63,-2.78,1.59,3.49,2.97,2.02,0.07,3.95,1.52,1.23
"DATA.688007",5.11,3.35,3.7,3,4.44,-2.38,3.51,3.57,3.67,0.88,4.42,4.1,3.73,0.46
"DATA.688006",4.45,3.39,2.32,2.11,4.75,-1.98,3.39,2.58,2.03,2.17,4.06,3.99,2.94,0.1
"DATA.688001",4.73,3.63,3.69,2.92,2.4,-2.32,3.64,2.34,2.67,1.53,-2.76,-1.11,2.48,-2.18
"DATA.687997",4.92,3.42,3.97,2.4,4.81,-1.22,3.41,3.56,3.14,1.39,4.25,4.09,2.68,1.48
"DATA.687983",5.12,3.55,2.53,1.16,5.28,-3.42,3.71,3.55,3.17,0.85,3.12,2.71,3.74,-0.76
"DATA.687804",4.26,0.78,2.67,-0.51,4.45,0.05,3.02,2.63,3.03,2.35,3.72,3.47,2.62,0.86
"DATA.687600",4.42,1.45,1.96,-0.99,4.86,-0.5,3.25,3.25,2.1,0.3,3.94,3.32,2.71,0.92
"DATA.687590",5.01,2.25,2.61,-2.31,5.13,-0.31,3.81,3.29,3.45,2.43,2.22,1.25,3.75,0.06
"DATA.687568",3.9,2.54,1.86,1.46,3.44,-3.2,3.29,3.56,0.67,-1.1,0.8,3.07,3.65,-0.03
"DATA.687562",4.3,3,0.65,-2.26,1.87,-5.2,2.56,2.64,2.68,0.74,3.34,1.92,2.66,-0.29
"DATA.684681",5.47,1.75,3.25,-1.82,5.41,-0.42,4.14,3.59,2.06,0.53,4.12,3.53,4.14,-0.33
"DATA.684072",3.73,3.28,2.28,0.4,3,-4.23,2.04,3.34,3.32,-0.68,1.52,3.68,2.6,1.28
"DATA.684062",5.18,1.94,3.31,2.88,4.78,0.95,2.46,3.31,3.05,1.6,0.69,3.44,2.9,1.43
"DATA.684059",3.73,2.46,2.7,0.8,4.04,0.08,3.19,1.7,3.19,3.13,-1.32,3.07,1.83,1.08
"DATA.684057",3.5,2.63,3.37,0.5,1.51,0.1,3.57,3.57,3.49,1.61,-0.47,3.39,1.96,1.16
"DATA.683665",2.32,2.67,3.5,0.55,3.26,-3.65,2.44,2.68,2.83,2.76,0.67,3.02,2.38,-1.24
"DATA.1331050",3.93,2.73,2.11,0.3,3.73,-2.54,2.71,2.73,2.25,2.73,2.08,2.5,2.64,0.65
"DATA.1331049",3.44,2.57,-0.75,-0.07,4.16,-5.27,2.06,2.56,1.39,1.76,3.05,2.66,2.46,0.49
"DATA.1331040",1.02,2.23,1.99,-0.93,3.39,-5.47,1.94,2.17,2.23,-4.21,2.12,0,2.23,0.11
"DATA.1331039",1.08,1.96,1.52,-0.8,3.86,-2.92,2.95,2.37,2.71,0.78,1.73,2.9,2.56,0.93
"DATA.1331037",3.1,2.09,1.16,1.31,2.87,-5.86,1.12,1.63,0.02,-0.04,-1.86,2.77,1.41,-0.85
"DATA.1331035",3.31,1.57,0.93,1.23,3.2,-4.75,-0.21,1.92,0.43,0.13,2.63,2.47,1.93,-0.15
"DATA.1331034",2.97,1.96,1.05,-0.93,3.2,-4.44,1.94,1.55,0.6,0.27,1.97,2.06,1.89,-0.21
"DATA.1331032",2.74,3.42,2.17,0.29,4.62,-3.9,2.86,3.39,3.35,1.68,3.61,2.22,2.82,-0.88
"DATA.1331025",4.38,3.6,3.04,3.42,4.67,-1.03,4.09,4.11,3.24,1.84,2.87,4.4,3.95,2.06
"DATA.1330987",3.56,1.63,0.93,1.48,2.67,-3.35,1.3,1.98,1.67,-0.27,1.86,2.84,1.28,0.1
"DATA.1330985",3.5,2.33,1.11,1.07,3.73,-3.69,2.33,2.17,2.33,1.08,3.02,1.99,2.33,-0.64
"DATA.1330984",0.54,2.92,1.06,1.11,3.18,-5.79,1.34,2.94,2.7,-0.24,0.69,1.31,2.51,-1.53
"DATA.1330983",0.76,1.67,-0.11,0.44,4.55,-4.3,2.36,2.82,2.88,-1.39,0.68,0.58,2.2,-2.3
"DATA.1330982",2.19,2.52,1.09,1.82,2.57,-4.61,2.52,2.34,0.97,1.15,0.46,3.15,2.42,-0.66
"DATA.1330972",4.74,3.35,2.48,2.59,1.34,-3.44,2.64,3.35,3.28,0.48,4.05,3.53,3.16,1.28
"DATA.1330950",3.02,2.61,1.28,0.96,4.66,-4.13,3.05,1.13,3,-0.95,1.87,1.08,2.39,-1.92
"DATA.1330947",2.49,1.28,-5.32,-0.17,3.61,-5.07,1.14,2.52,0.84,-1.66,-1.47,1.4,2.44,-0.19
"DATA.1330942",4.72,3.15,1.91,2.51,4.94,-0.55,3.64,3.74,3.57,1.7,3.1,1.52,2.5,-2.74
"DATA.1330935",4.2,2.72,1.8,-1.29,2.7,-2.33,2.6,2.28,2.59,1.13,3.51,2.72,2.81,0.58
"DATA.1330931",4.05,2.56,1.39,0.59,4.28,-4.57,2.27,2.27,-0.71,1.08,1.53,1.39,-4.09,-1.21
"DATA.1327774",3.34,1.86,1.01,0.14,2.03,-5.06,1.61,2.02,0.48,0.14,1.15,2.79,0.98,0.22
"DATA.1327768",1.87,2.5,1.65,1.32,4.2,-2.88,2.14,2.71,2.18,-0.05,0.5,2.48,2.67,0.07
"DATA.1327766",4,2.57,1.15,-0.1,4.24,-4.63,2.4,2.63,2.63,-0.14,3.33,2.1,1.01,-1.03
"DATA.1323913",3.9,2.51,0.96,-1.91,3.34,-2.53,2.34,2.52,2.52,-1.12,-1.47,-2.68,1.36,-5.59
"DATA.1322224",3.58,2.81,0.78,-2.88,1.24,-3.26,2.83,2.52,2.77,-0.94,0.88,2.56,1.58,0.62
"DATA.1303897",1.66,3.07,3.05,1.71,4.49,-3.59,3.06,2.95,2.81,1.44,3.39,3.69,2.12,0.54
"DATA.1303896",3.87,2.7,0.52,0.16,2.85,-5.97,-1.22,2.6,-0.67,-0.09,0.47,2.37,1.61,0.45
"DATA.1299075",4.64,3.02,2.08,1.08,5.07,-4.05,3.31,2.84,2.88,-1.51,1.98,3.84,3.45,0.13
"DATA.1298352",3.79,3.47,2.57,2.8,5.02,-2.21,3.4,3.48,3.42,1.1,4.18,4.1,3.49,1.41
"DATA.1297449",2.23,2.66,1.12,0.29,2.44,-4.54,2.32,2.66,-0.12,1.38,1.63,3.31,1.65,0.05
"DATA.1297447",4.18,2.68,1.67,0.92,4.06,-3.12,2.59,2.43,2.31,1.19,3.49,2.89,2.43,0.59
"DATA.1297446",4.21,2.35,1.37,0.99,4.41,-2.51,2.81,2.35,2.18,0.94,0.76,1.78,1.99,-1.79
"DATA.1297439",5.23,3.48,3.14,0.82,5.54,-1.68,3.87,3.3,3.72,0.46,4.59,4.4,3.91,0.06
"DATA.1295741",1.65,2.79,2.12,-1.57,4.39,-4.87,2.76,2.4,2.39,0.42,2.94,1.74,2.79,-1.02
"DATA.1295740",2.77,1.11,0.27,1.87,3.17,-5.37,1.73,2.65,-1.67,-1.04,1.15,2.92,-5.78,0.39
"DATA.1290769",3.24,3.81,3.67,1.17,5.41,0.24,3.83,3.82,3.66,1.66,1.63,-2.43,2.27,-4.66
"DATA.1290455",1.88,2.78,1.79,0.19,3.91,-4.55,2.8,2.8,2.48,1.47,2.21,-2.98,2.47,-4.16
"DATA.1240193",3.95,2.58,1.49,1.85,3.5,-4.82,2.28,2.58,2.55,-0.11,3.27,2.87,2.58,0.5
"DATA.1240189",3.51,2.7,2.51,-0.07,4.28,-4.91,3.19,2.63,2.29,0.5,1.84,2.97,1.73,0.92
"DATA.1240183",3.95,3.38,2.92,-1.88,1.91,-2.12,0.51,1.2,1.15,1.17,2.42,1.38,3.51,-1.25
"DATA.1240182",5.15,2.45,3.11,3.05,5.37,-2.81,2.7,3.77,2.96,1.31,4.46,3.75,3.77,1.61
"DATA.1240181",3.03,1.98,1.89,1.98,3.43,-0.82,2.81,2.86,1.76,-1.53,3.56,3.68,2.57,0.73
"DATA.1240173",2.25,3.27,3.46,-0.9,2.4,-2.62,3.28,2.97,3.14,1.77,1.73,-2.81,1.31,-2.32
"DATA.1240128",4.21,2.81,1.67,-0.4,1.9,-2.68,2.61,2.94,2.54,2.07,-0.94,-1.4,2.82,-3.81
