"","Nutlin-3","PHA-665752","Sorafenib","17-AAG","PLX4720","Paclitaxel","Erlotinib","Lapatinib","AZD0530","TAE684","PD-0332991","AZD6244","Nilotinib","PD-0325901"
"DATA.910905",3.88,3.13,1.66,-0.47,3.49,-1.9,2.5,4.07,3.25,-1.6,1.48,-1.91,4.26,-4.04
"DATA.910861",4.48,2.23,2.9,0.63,4.39,0.11,3.1,2.65,2.73,2.53,1.66,3.05,3.1,1.01
"DATA.910710",0.14,2.64,0.38,-0.9,1.38,-4.72,1.43,2.54,-0.56,0.12,-0.93,1.35,-5.19,-1.77
"DATA.910706",3.63,0.36,1.09,0.18,3.53,-5.43,1.16,1.5,1.83,-0.57,0.98,2.89,1.84,0.16
"DATA.910703",4.68,3.24,3.36,2.1,4.02,-1.76,3.06,2.12,3.13,2.49,4.14,4.02,3.45,1.38
"DATA.910700",1.3,3.49,2.81,-1.37,3.8,-1.81,1.71,2.83,0.37,0.03,0.76,2.41,2.32,-3.59
"DATA.910697",4.64,3.45,0.64,-1.42,2.95,-4.88,-0.09,-0.31,1.55,1.03,1.09,2.01,3.27,-1.82
"DATA.910692",4.36,3.18,3.42,0.06,4.26,-1.85,1.79,0.99,3.39,1.47,4.07,2.42,1.55,-0.13
"DATA.910691",4.79,3.5,2.41,0.06,4.38,-3.46,3.6,3.36,3.44,2.32,4.06,3.63,3.43,1.18
"DATA.910688",1.83,2.59,1.24,0.41,3.38,-4.66,2.76,2.42,2.69,0.34,2.87,2.58,2.75,0.12
"DATA.910687",0.89,2.8,2.06,-1.36,-1.27,-5.14,2.61,2.74,2.09,-1.03,1.05,3.39,1.71,0.89
"DATA.910569",4.26,2.11,1.35,2.2,4.31,-1.79,2.67,2.68,2.09,-1.52,1.51,3.45,2.13,0.66
"DATA.910567",1.57,3.36,2.06,0.72,3.29,-0.93,3.05,2.47,2.65,-0.22,0.37,4.01,3.43,1.26
"DATA.910566",3.47,2.71,1.93,0.95,3.39,-3.46,2.7,2.71,2.71,-1.38,2.03,3,2.71,0.56
"DATA.910554",2.9,2.59,3.83,0.94,4.93,0.79,3.06,2.8,3.75,3.11,3.07,2.34,3.51,0.21
"DATA.910546",4.08,1.04,1.18,-3.02,2.81,-6.63,2.67,2.69,1.94,-1.46,2.32,-1.27,2.28,-3.17
"DATA.910545",1.23,3.1,0.87,0.63,3.04,-4.41,2.17,3.11,1.77,0.72,1.84,2.51,3.06,0.1
"DATA.910401",2.56,2.17,0.97,2.01,2.98,-4.27,2.53,1.86,1.63,1.55,0.83,2.48,0.47,0.2
"DATA.909976",2.55,2.91,1.48,0.4,3.36,-3.35,2.49,2.91,2.88,0.45,3.34,3.38,2.84,0.62
"DATA.909975",5.09,3.41,2.4,0.37,5.26,-4.63,2.6,2.66,1.24,0.31,4.06,1.68,3.7,-1.37
"DATA.909974",3.05,3.43,4.92,3.25,5.94,1.72,1.98,2.5,3.19,1.73,2.7,1.6,4.69,0.39
"DATA.909785",3.03,2.85,2.36,0.59,2.79,-0.15,2.56,2.74,2.08,1.25,0.49,3.18,1.53,0.46
"DATA.909777",3.5,3.06,2.07,0.73,3.16,-1.11,1.66,1.49,3.12,3.25,2.47,2.67,2.26,1.14
"DATA.909773",4.03,2.99,3.66,-2.81,2.64,-0.03,2.91,2.93,2.93,2.18,-0.85,2.35,2.13,-0.15
"DATA.909771",4.45,3.03,2.36,0.46,3.81,-0.55,3.01,2.71,2.62,2.7,2.57,1.87,3.02,-0.8
"DATA.909769",4.51,2.64,2.49,-2.9,4.37,-4.29,3.39,0.94,2.02,0.98,1.27,2.35,2.89,0.01
"DATA.909758",4.08,2.52,3.56,-3.1,5.31,-4.84,0.96,0.14,1.09,0.22,-0.49,0.04,3.8,-1.11
"DATA.909754",5.86,4.48,5.27,-2.63,6.18,1.45,4.26,4.34,2.26,3.1,4.18,2.86,4.58,1.23
"DATA.909743",3.64,0.73,3.75,0.93,3.29,0.06,3.02,3.04,3.02,2.04,3.2,3.16,2.89,0.89
"DATA.909731",2.65,3.08,1.75,1.7,2.74,-4.96,2.32,3.32,2.28,-0.14,2.02,3.88,0.37,0.65
