"","Nutlin-3","PHA-665752","Sorafenib","17-AAG","PLX4720","Paclitaxel","Erlotinib","Lapatinib","AZD0530","TAE684","PD-0332991","AZD6244","Nilotinib","PD-0325901"
"DATA.909260",0,0,0,0,0,1,0,0,0,1,0,0,0,0
"DATA.909253",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"DATA.909252",0,0,0,0,0,1,0,0,0,0,1,0,0,0
"DATA.909250",0,0,0,1,0,1,1,1,0,1,1,0,0,1
"DATA.909249",0,0,0,0,0,1,0,0,0,1,0,0,0,0
"DATA.909248",0,0,0,0,0,1,0,0,0,0,1,1,0,1
"DATA.908483",0,0,0,0,0,1,0,0,0,1,0,0,0,0
"DATA.908457",0,0,0,1,0,1,0,0,0,1,1,1,0,1
"DATA.908451",0,0,0,1,0,1,0,0,0,0,1,1,0,1
"DATA.908450",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"DATA.908449",0,0,0,1,0,1,0,0,0,1,0,1,0,1
"DATA.908448",0,0,1,1,0,1,0,0,0,1,0,0,1,1
"DATA.908447",0,0,0,1,0,0,0,0,0,0,0,0,0,1
"DATA.908445",0,1,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.908444",0,0,0,0,0,1,0,0,0,1,0,0,0,0
"DATA.908159",0,0,0,0,0,1,0,0,0,1,0,0,0,1
"DATA.908151",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"DATA.908150",0,0,0,1,0,1,0,0,0,1,0,0,0,0
"DATA.908149",0,0,0,1,0,1,0,0,0,0,1,0,0,1
"DATA.908148",0,0,1,1,0,1,0,0,0,1,0,0,0,0
"DATA.908143",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.908142",0,0,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.908141",0,0,0,1,0,1,0,0,0,1,0,1,0,1
"DATA.908136",0,0,0,0,0,1,0,0,0,0,1,0,0,0
"DATA.908126",0,0,0,0,0,1,0,0,1,0,0,1,1,1
"DATA.907799",0,0,0,0,0,1,0,0,0,0,0,0,0,1
"DATA.907795",0,0,0,1,0,1,1,1,0,0,1,1,0,1
"DATA.907794",0,0,0,1,0,1,0,0,0,1,0,1,0,1
"DATA.907791",0,0,0,0,0,1,0,0,0,1,0,0,0,0
"DATA.907787",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.907783",0,0,1,1,0,1,0,0,1,0,1,0,1,1
"DATA.907323",0,0,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.907322",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.907314",0,0,0,0,0,1,1,0,0,1,0,0,0,1
"DATA.907313",0,0,0,1,0,1,1,1,1,1,0,0,0,1
"DATA.907311",0,0,0,1,0,1,0,0,0,0,0,1,1,1
"DATA.907282",0,0,0,1,0,1,0,0,0,0,0,0,0,0
"DATA.907280",0,0,0,0,0,1,0,0,0,0,0,1,0,1
"DATA.907279",0,1,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.907277",0,0,0,1,0,1,0,0,0,1,1,0,0,1
"DATA.907274",0,0,0,1,0,1,0,0,0,1,0,0,0,0
"DATA.907273",0,0,0,1,0,1,0,0,0,1,0,0,0,1
"DATA.907270",0,0,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.907269",0,0,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.907268",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.907172",0,0,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.907170",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DATA.907056",0,0,0,0,0,1,0,0,0,0,1,0,0,1
"DATA.907043",0,0,0,1,0,1,0,0,0,0,0,1,0,1
"DATA.907041",0,0,0,1,0,1,0,0,0,0,1,1,0,0
"DATA.906877",0,0,0,0,0,1,0,0,0,1,0,0,0,0
"DATA.906875",0,0,0,1,0,1,0,0,0,0,0,0,0,1
"DATA.906872",0,0,0,1,0,1,0,0,0,1,0,1,0,1
"DATA.906871",0,0,0,1,0,1,0,0,1,1,0,0,0,1
"DATA.906870",0,0,1,0,0,1,0,0,1,1,0,0,0,0
